Developer,Points Closed,Percent Contribution,Expected Grade
Total,382.0,/100%,/100%
hiramGL,45.0,11.8,100.0
ChristopherLagos,0.0,0.0,0.0
DevSebastian1,38.0,9.9,100.0
JannGarcia,34.0,8.9,100.0
Poggecci,68.0,17.8,100.0
Adrian-OCS,20.0,5.2,100.0
KelvinGonzalez,56.0,14.7,100.0
irsaris,0.0,0.0,0.0
BryanDVG,20.0,5.2,100.0
JeremySanchez1,30.0,7.9,100.0
AcevedoC17,5.0,1.3,27.3
Juliam-Rodriguez,3.0,0.8,16.4
BreannaGSegarra,34.0,8.9,100.0
SebastianSaliva,0.0,0.0,0.0
CruzYDiazRivera,5.0,1.3,27.3
GabrielGranell15,4.0,1.0,21.9
Robert-6,0.0,0.0,0.0
Leamsi31,10.0,2.6,54.7
AlonsoUriarte14,10.0,2.6,54.7
